,Adult_Content,Hate_Harass_Violence,Illegal_Activity,Economic_Harm,Tailored_Financial_Advice,Physical_Harm,Child_Abuse,Privacy_Violation_Activity,Malware_Viruses,Fraud_Deception,harmless,Political_Campaigning
Adult_Content,1.0000226497650146,0.9844764471054077,0.9982208013534546,0.9965173602104187,0.9981154203414917,0.9924803376197815,0.994937539100647,0.9997984170913696,0.9993723630905151,0.9999150037765503,0.9972854256629944,0.9997149705886841
Hate_Harass_Violence,0.9844764471054077,1.000016450881958,0.9907546043395996,0.9936443567276001,0.9915583729743958,0.9972640872001648,0.994640588760376,0.9840832948684692,0.980927586555481,0.9836238622665405,0.9885179996490479,0.9869952201843262
Illegal_Activity,0.9982208013534546,0.9907546043395996,1.0000196695327759,0.9983057379722595,0.9991767406463623,0.9957266449928284,0.997646689414978,0.9980716705322266,0.9969098567962646,0.9979501962661743,0.9984674453735352,0.9986368417739868
Economic_Harm,0.9965173602104187,0.9936443567276001,0.9983057379722595,1.0000182390213013,0.9990209341049194,0.9977814555168152,0.9993074536323547,0.9963958859443665,0.993865966796875,0.9960911273956299,0.997344434261322,0.9977002143859863
Tailored_Financial_Advice,0.9981154203414917,0.9915583729743958,0.9991767406463623,0.9990209341049194,1.0000181198120117,0.9967877864837646,0.9983088970184326,0.998242199420929,0.9967559576034546,0.9978500008583069,0.9978718757629395,0.9989566206932068
Physical_Harm,0.9924803376197815,0.9972640872001648,0.9957266449928284,0.9977814555168152,0.9967877864837646,1.000017762184143,0.9977985620498657,0.992516040802002,0.9900883436203003,0.9918347597122192,0.9946048259735107,0.9939326047897339
Child_Abuse,0.994937539100647,0.994640588760376,0.997646689414978,0.9993074536323547,0.9983088970184326,0.9977985620498657,1.0000174045562744,0.9948792457580566,0.9921866655349731,0.9945729970932007,0.9959415793418884,0.996558666229248
Privacy_Violation_Activity,0.9997984170913696,0.9840832948684692,0.9980716705322266,0.9963958859443665,0.998242199420929,0.992516040802002,0.9948792457580566,1.000022292137146,0.9994524121284485,0.9998726844787598,0.9972381591796875,0.9996208548545837
Malware_Viruses,0.9993723630905151,0.980927586555481,0.9969098567962646,0.993865966796875,0.9967559576034546,0.9900883436203003,0.9921866655349731,0.9994524121284485,1.0000224113464355,0.9994527101516724,0.9958999156951904,0.9987190961837769
Fraud_Deception,0.9999150037765503,0.9836238622665405,0.9979501962661743,0.9960911273956299,0.9978500008583069,0.9918347597122192,0.9945729970932007,0.9998726844787598,0.9994527101516724,1.0000228881835938,0.9968791007995605,0.9996975660324097
harmless,0.9972854256629944,0.9885179996490479,0.9984674453735352,0.997344434261322,0.9978718757629395,0.9946048259735107,0.9959415793418884,0.9972381591796875,0.9958999156951904,0.9968791007995605,1.0000214576721191,0.997387707233429
Political_Campaigning,0.9997149705886841,0.9869952201843262,0.9986368417739868,0.9977002143859863,0.9989566206932068,0.9939326047897339,0.996558666229248,0.9996208548545837,0.9987190961837769,0.9996975660324097,0.997387707233429,1.000023603439331
