,Political_Campaigning,Malware_Viruses,Hate_Harass_Violence,Child_Abuse,Privacy_Violation_Activity,Adult_Content,Economic_Harm,Physical_Harm,Illegal_Activity,Tailored_Financial_Advice,Fraud_Deception,harmless
Political_Campaigning,0.9999994039535522,0.8697001338005066,0.9100544452667236,0.8837082982063293,0.9000897407531738,0.8747142553329468,0.9099450707435608,0.909895122051239,0.915550947189331,0.8905051350593567,0.9150105714797974,0.13378818333148956
Malware_Viruses,0.8697001338005066,1.0,0.82283616065979,0.8476120233535767,0.9355195760726929,0.829271674156189,0.8914356827735901,0.8867905139923096,0.9179261326789856,0.8489071726799011,0.9140611886978149,0.1293490082025528
Hate_Harass_Violence,0.9100544452667236,0.82283616065979,0.9999997019767761,0.8874884247779846,0.8629593849182129,0.9050629734992981,0.8792051076889038,0.9151473045349121,0.8890776634216309,0.854780375957489,0.8777871131896973,0.12927104532718658
Child_Abuse,0.8837082982063293,0.8476120233535767,0.8874884247779846,1.0000004768371582,0.8802186250686646,0.9184502363204956,0.8940123319625854,0.9019216299057007,0.9188966155052185,0.8730956315994263,0.894120454788208,0.13546772301197052
Privacy_Violation_Activity,0.9000897407531738,0.9355195760726929,0.8629593849182129,0.8802186250686646,0.9999998807907104,0.8789464831352234,0.9037109613418579,0.9051617383956909,0.931766152381897,0.8768660426139832,0.9314016699790955,0.13720212876796722
Adult_Content,0.8747142553329468,0.829271674156189,0.9050629734992981,0.9184502363204956,0.8789464831352234,1.0000001192092896,0.8837571144104004,0.9054585695266724,0.8962423205375671,0.8512793183326721,0.8802635073661804,0.12726083397865295
Economic_Harm,0.9099450707435608,0.8914356827735901,0.8792051076889038,0.8940123319625854,0.9037109613418579,0.8837571144104004,1.0000005960464478,0.9191885590553284,0.9456430673599243,0.9429377913475037,0.9625760316848755,0.12907037138938904
Physical_Harm,0.909895122051239,0.8867905139923096,0.9151473045349121,0.9019216299057007,0.9051617383956909,0.9054585695266724,0.9191885590553284,0.9999997615814209,0.9347386360168457,0.8870354890823364,0.9112291932106018,0.12883052229881287
Illegal_Activity,0.915550947189331,0.9179261326789856,0.8890776634216309,0.9188966155052185,0.931766152381897,0.8962423205375671,0.9456430673599243,0.9347386360168457,1.0000004768371582,0.9132673740386963,0.9556149244308472,0.1311299204826355
Tailored_Financial_Advice,0.8905051350593567,0.8489071726799011,0.854780375957489,0.8730956315994263,0.8768660426139832,0.8512793183326721,0.9429377913475037,0.8870354890823364,0.9132673740386963,0.9999997615814209,0.9206898808479309,0.1296769380569458
Fraud_Deception,0.9150105714797974,0.9140611886978149,0.8777871131896973,0.894120454788208,0.9314016699790955,0.8802635073661804,0.9625760316848755,0.9112291932106018,0.9556149244308472,0.9206898808479309,1.0000005960464478,0.12851886451244354
harmless,0.13378818333148956,0.1293490082025528,0.12927104532718658,0.13546772301197052,0.13720212876796722,0.12726083397865295,0.12907037138938904,0.12883052229881287,0.1311299204826355,0.1296769380569458,0.12851886451244354,1.0000395774841309
